37032,occ,,,2814,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37047,occ,,,2815,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37059,occ,,,2816,Cimomia subrecta,species,122905,Danian,,66,61.6,124
37256,occ,,,2832,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37298,occ,,,2836,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37333,occ,,,2838,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37343,occ,,,2839,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37352,occ,,,2840,Cimomia subrecta,species,122905,Danian,,66,61.6,124
37360,occ,,,2841,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37386,occ,,,2848,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37398,occ,,,2849,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37405,occ,,,2850,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37411,occ,,,2851,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37414,occ,,,2852,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37478,occ,,,2855,Cimomia subrecta,species,122905,Danian,,66,61.6,124
37479,occ,,,2855,Eutrephoceras,genus,13198,Danian,,66,61.6,124
37494,occ,,,2858,Eutrephoceras,genus,13198,Danian,,66,61.6,124
37495,occ,,,2858,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37505,occ,,,2859,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37533,occ,,,2861,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37552,occ,,,2862,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37565,occ,,,2863,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
37581,occ,,,2867,Hercoglossa ulrichi,species,120463,Danian,,66,61.6,124
40218,occ,,,3114,Nautilidae,family,93682,Paleocene,,66,56,142
40548,occ,,,3158,Eutrephoceras dorbignyanum,species,313062,Early Maastrichtian,,70.6,66,145
40649,occ,,,3166,Eutrephoceras dorbignyanum,species,313062,Late Maastrichtian,,70.6,66,145
40732,occ,,,3169,Eutrephoceras dorbignyanum,species,313062,Late Maastrichtian,,70.6,66,145
41349,occ,,,3260,Eutrephoceras (Simplicioceras) centrale,species,314133,Early Eocene,,55.8,48.6,151
41409,occ,,,3261,Deltoidonautilus sowerbyi,species,112124,Early Eocene,,55.8,48.6,152
41709,occ,,,3266,Cimomia imperialis,species,112122,Ypresian,,56,47.8,154
41783,occ,,,3267,Cimomia imperialis,species,112122,Ypresian,,56,47.8,154
41845,occ,,,3268,Euciphoceras regale,species,314134,Ypresian,,56,47.8,154
41846,occ,,,3268,Cimomia imperialis,species,112122,Ypresian,,56,47.8,154
41847,occ,,,3268,Deltoidonautilus sowerbyi,species,112124,Ypresian,,56,47.8,154
42303,occ,,,3312,Aturia colombiana,species,122911,Bartonian,,41.3,38,182
42391,occ,,,3315,Aturia,genus,13148,Late Eocene,,37.2,33.9,182
42392,occ,,,3315,Aturia peruviana,species,122909,Late Eocene,,37.2,33.9,182
